date,key,value
08/02/2015,Mike Huckabee,2.52
08/09/2015,Mike Huckabee,0.76
08/16/2015,Mike Huckabee,0.86
08/23/2015,Mike Huckabee,0.42
08/30/2015,Mike Huckabee,0.72
09/06/2015,Mike Huckabee,2.78
09/13/2015,Mike Huckabee,1.98
09/20/2015,Mike Huckabee,0.96
09/27/2015,Mike Huckabee,0.60
10/04/2015,Mike Huckabee,0.45
10/11/2015,Mike Huckabee,1.31
10/18/2015,Mike Huckabee,0.43
10/25/2015,Mike Huckabee,1.04
11/01/2015,Mike Huckabee,0.57
11/08/2015,Mike Huckabee,0.61
11/15/2015,Mike Huckabee,0.55
11/22/2015,Mike Huckabee,0.42
11/29/2015,Mike Huckabee,0.39
12/06/2015,Mike Huckabee,0.36
12/13/2015,Mike Huckabee,0.67
12/20/2015,Mike Huckabee,0.30
12/27/2015,Mike Huckabee,0.29
01/03/2016,Mike Huckabee,0.32
01/10/2016,Mike Huckabee,0.45
01/17/2016,Mike Huckabee,0.39
01/24/2016,Mike Huckabee,1.19
01/31/2016,Mike Huckabee,1.66
02/07/2016,Mike Huckabee,0.37
02/14/2016,Mike Huckabee,0.22
02/21/2016,Mike Huckabee,0.46
02/28/2016,Mike Huckabee,0.71
03/06/2016,Mike Huckabee,0.28
03/13/2016,Mike Huckabee,0.33
03/20/2016,Mike Huckabee,0.17
03/27/2016,Mike Huckabee,0.34
04/03/2016,Mike Huckabee,0.00
04/10/2016,Mike Huckabee,0.12
04/17/2016,Mike Huckabee,0.22
04/24/2016,Mike Huckabee,0.00
05/01/2016,Mike Huckabee,0.00
05/08/2016,Mike Huckabee,0.00
05/15/2016,Mike Huckabee,0.00
05/22/2016,Mike Huckabee,0.00
05/29/2016,Mike Huckabee,0.18
12/28/2014,Bobby Jindal,0.00
01/04/2015,Bobby Jindal,0.11
01/11/2015,Bobby Jindal,0.19
01/18/2015,Bobby Jindal,1.28
01/25/2015,Bobby Jindal,0.56
02/01/2015,Bobby Jindal,0.83
02/08/2015,Bobby Jindal,0.68
02/15/2015,Bobby Jindal,0.24
02/22/2015,Bobby Jindal,0.42
03/01/2015,Bobby Jindal,0.20
03/08/2015,Bobby Jindal,0.21
03/15/2015,Bobby Jindal,0.21
03/22/2015,Bobby Jindal,0.29
03/29/2015,Bobby Jindal,0.16
04/05/2015,Bobby Jindal,0.27
04/12/2015,Bobby Jindal,0.29
04/19/2015,Bobby Jindal,0.58
04/26/2015,Bobby Jindal,0.25
05/03/2015,Bobby Jindal,0.18
05/10/2015,Bobby Jindal,0.18
05/17/2015,Bobby Jindal,0.64
05/24/2015,Bobby Jindal,0.38
05/31/2015,Bobby Jindal,0.41
06/07/2015,Bobby Jindal,0.24
06/14/2015,Bobby Jindal,0.38
06/21/2015,Bobby Jindal,4.82
06/28/2015,Bobby Jindal,2.53
07/05/2015,Bobby Jindal,1.07
07/12/2015,Bobby Jindal,0.58
07/19/2015,Bobby Jindal,1.10
07/26/2015,Bobby Jindal,0.70
08/02/2015,Bobby Jindal,1.37
08/09/2015,Bobby Jindal,0.59
08/16/2015,Bobby Jindal,0.59
08/23/2015,Bobby Jindal,0.85
08/30/2015,Bobby Jindal,0.48
