date,Candidate,search interest (indexed 1-100),
Feb 16 2016,Jeb Bush,30.41,
Feb 17 2016,Jeb Bush,40.67,
Feb 18 2016,Jeb Bush,19.39,
Feb 19 2016,Jeb Bush,14.63,
Feb 20 2016,Jeb Bush,9.03,
Feb 21 2016,Jeb Bush,49.94,
Feb 22 2016,Jeb Bush,14.56,
Feb 23 2016,Jeb Bush,8.72,
Feb 24 2016,Jeb Bush,6.06,
Feb 25 2016,Jeb Bush,4.43,
Feb 26 2016,Jeb Bush,5.05,
Feb 27 2016,Jeb Bush,3.74,
Feb 28 2016,Jeb Bush,3.06,
Feb 29 2016,Jeb Bush,2.22,
Mar 1 2016,Jeb Bush,2.68,
Mar 2 2016,Jeb Bush,3.39,
Mar 3 2016,Jeb Bush,2.15,
Mar 4 2016,Jeb Bush,2.38,
Mar 5 2016,Jeb Bush,1.95,
Mar 6 2016,Jeb Bush,1.75,
Mar 7 2016,Jeb Bush,1.65,
Mar 8 2016,Jeb Bush,1.42,
Mar 9 2016,Jeb Bush,2.04,
Mar 10 2016,Jeb Bush,2.21,
Mar 11 2016,Jeb Bush,2.15,
Mar 12 2016,Jeb Bush,1.59,
Mar 13 2016,Jeb Bush,1.35,
Mar 14 2016,Jeb Bush,1.32,
Mar 15 2016,Jeb Bush,1.50,
Mar 16 2016,Jeb Bush,2.17,
Mar 17 2016,Jeb Bush,1.13,
Mar 18 2016,Jeb Bush,0.92,
Mar 19 2016,Jeb Bush,0.97,
Mar 20 2016,Jeb Bush,0.90,
Mar 21 2016,Jeb Bush,0.84,
Jan 1 2015,Ben Carson,0.00,
Jan 2 2015,Ben Carson,0.72,
Jan 3 2015,Ben Carson,0.72,
Jan 4 2015,Ben Carson,0.65,
Jan 5 2015,Ben Carson,0.61,
Jan 6 2015,Ben Carson,0.58,
Jan 7 2015,Ben Carson,0.72,
Jan 8 2015,Ben Carson,0.68,
Jan 9 2015,Ben Carson,0.66,
Jan 10 2015,Ben Carson,0.73,
Jan 11 2015,Ben Carson,0.57,
Jan 12 2015,Ben Carson,0.57,
Jan 13 2015,Ben Carson,0.59,
Jan 14 2015,Ben Carson,0.67,
Jan 15 2015,Ben Carson,0.64,
Jan 16 2015,Ben Carson,1.23,
Jan 17 2015,Ben Carson,1.10,
Jan 18 2015,Ben Carson,0.73,
Jan 19 2015,Ben Carson,0.76,
Jan 20 2015,Ben Carson,0.73,
Jan 21 2015,Ben Carson,0.90,
Jan 22 2015,Ben Carson,0.67,
Jan 23 2015,Ben Carson,0.75,
Jan 24 2015,Ben Carson,1.16,
Jan 25 2015,Ben Carson,1.15,
Jan 26 2015,Ben Carson,0.96,
Jan 27 2015,Ben Carson,1.30,
Jan 28 2015,Ben Carson,0.96,
Jan 29 2015,Ben Carson,0.75,
Jan 30 2015,Ben Carson,0.94,
Jan 31 2015,Ben Carson,0.96,
Feb 1 2015,Ben Carson,0.83,
Feb 2 2015,Ben Carson,0.75,
Feb 3 2015,Ben Carson,1.20,
Feb 4 2015,Ben Carson,1.00,
Feb 5 2015,Ben Carson,0.95,
Feb 6 2015,Ben Carson,1.02,
Feb 7 2015,Ben Carson,1.14,
Feb 8 2015,Ben Carson,2.08,
Feb 9 2015,Ben Carson,1.83,
Feb 10 2015,Ben Carson,1.34,
Feb 11 2015,Ben Carson,1.17,
Feb 12 2015,Ben Carson,1.20,
Feb 13 2015,Ben Carson,0.90,
Feb 14 2015,Ben Carson,0.65,
Feb 15 2015,Ben Carson,0.66,
Feb 16 2015,Ben Carson,0.79,
